Ticker,Entry Date,Exit Date,Quantity (Shares),Entry Price,Exit Price,Position Size ($),Profit/Loss ($),Trade Return (%),Exit Reason,SPY Entry Price,SPY Exit Price,SPY Return (%),Excess Return vs SPY (%)
VRTX,2026-01-07,2026-01-12,42,468.65,460.59,19683.3,-338.52,-1.72,15-day SMA Drop,685.93,691.49,0.81,-2.53
REGN,2026-01-08,2026-01-12,1,805.41,765.93,805.41,-39.48,-4.9,15-day SMA Drop,685.87,691.49,0.82,-5.72
F,2026-01-09,2026-01-16,5,14.35,13.29,71.75,-5.32,-7.41,15-day SMA Drop,690.4,688.0,-0.35,-7.06
DOV,2026-01-06,2026-01-20,98,202.13,200.32,19808.74,-177.59,-0.9,15-day SMA Drop,688.15,674.0,-2.06,1.16
MCO,2026-01-06,2026-01-20,38,525.37,514.96,19964.06,-395.75,-1.98,15-day SMA Drop,688.15,674.0,-2.06,0.07
INTC,2026-01-21,2026-01-23,385,50.26,45.07,19350.1,-1998.15,-10.33,8% Trailing Stop,681.78,685.59,0.56,-10.89
URI,2026-01-06,2026-01-26,22,888.61,907.24,19549.42,409.82,2.1,15-day SMA Drop,688.15,689.07,0.13,1.96
POOL,2026-01-13,2026-01-28,1,258.23,255.04,258.23,-3.19,-1.23,15-day SMA Drop,690.1,691.74,0.24,-1.47
MO,2026-01-12,2026-01-29,176,57.51,57.91,10121.76,70.25,0.69,15-day SMA Drop,691.49,690.37,-0.16,0.86
DDOG,2026-01-23,2026-01-29,132,130.68,128.18,17249.76,-330.0,-1.91,8% Trailing Stop,685.59,690.37,0.7,-2.61
EMR,2026-01-06,2026-01-30,140,142.43,145.81,19940.2,472.94,2.37,15-day SMA Drop,688.15,688.31,0.02,2.35
AAPL,2026-02-02,2026-02-12,76,259.91,261.49,19753.16,120.01,0.61,15-day SMA Drop,691.73,677.67,-2.03,2.64
DVN,2026-02-05,2026-02-24,2,42.94,42.75,85.88,-0.38,-0.44,15-day SMA Drop,674.04,683.72,1.44,-1.88
LMT,2026-01-12,2026-02-26,18,548.88,634.11,9879.84,1534.23,15.53,15-day SMA Drop,691.49,685.66,-0.84,16.37
HON,2026-01-20,2026-02-26,92,216.71,238.38,19937.32,1993.63,10.0,15-day SMA Drop,674.0,685.66,1.73,8.27
CHD,2026-02-03,2026-03-04,84,96.67,102.14,8120.28,459.19,5.65,15-day SMA Drop,685.89,681.51,-0.64,6.29
JNJ,2026-01-29,2026-03-05,87,228.68,238.26,19895.16,833.44,4.19,15-day SMA Drop,690.37,677.71,-1.83,6.02
