Ticker,Entry Date,Exit Date,Quantity (Shares),Entry Price,Exit Price,Position Size ($),Profit/Loss ($),Trade Return (%),Exit Reason,SPY Entry Price,SPY Exit Price,SPY Return (%),Excess Return vs SPY (%)
IBM,2026-01-06,2026-01-07,67,295.18,292.89,19777.06,-153.29,-0.78,30-day SMA Drop,688.15,685.93,-0.32,-0.45
VRTX,2026-01-07,2026-01-14,42,468.65,449.53,19683.3,-803.04,-4.08,30-day SMA Drop,685.93,686.71,0.11,-4.19
REGN,2026-01-08,2026-01-14,1,805.41,752.11,805.41,-53.3,-6.62,30-day SMA Drop,685.87,686.71,0.12,-6.74
F,2026-01-09,2026-01-20,2,14.35,12.97,28.7,-2.75,-9.59,8% Trailing Stop,690.4,674.0,-2.38,-7.21
INTC,2026-01-14,2026-01-23,100,48.94,45.07,4894.0,-387.0,-7.91,8% Trailing Stop,686.71,685.59,-0.16,-7.74
WFC,2026-01-23,2026-01-26,26,87.3,87.12,2269.8,-4.65,-0.2,30-day SMA Drop,685.59,689.07,0.51,-0.71
MCO,2026-01-06,2026-01-28,38,525.37,514.28,19964.06,-421.47,-2.11,30-day SMA Drop,688.15,691.74,0.52,-2.63
APP,2026-01-27,2026-01-28,4,544.9,542.36,2179.6,-10.16,-0.47,30-day SMA Drop,691.81,691.74,-0.01,-0.46
URI,2026-01-06,2026-01-29,22,888.61,783.65,19549.42,-2309.06,-11.81,8% Trailing Stop,688.15,690.37,0.32,-12.13
DDOG,2026-01-23,2026-01-29,17,130.68,128.18,2221.56,-42.5,-1.91,8% Trailing Stop,685.59,690.37,0.7,-2.61
DOV,2026-01-06,2026-01-30,98,202.13,200.54,19808.74,-156.13,-0.79,30-day SMA Drop,688.15,688.31,0.02,-0.81
AMD,2026-01-14,2026-01-30,22,217.33,236.73,4781.26,426.8,8.93,8% Trailing Stop,686.71,688.31,0.23,8.69
KLAC,2026-01-16,2026-01-30,1,157.47,142.43,157.47,-15.04,-9.55,8% Trailing Stop,688.0,688.31,0.04,-9.6
EMR,2026-01-06,2026-02-12,140,142.43,143.84,19940.2,197.91,0.99,8% Trailing Stop,688.15,677.67,-1.52,2.52
AAPL,2026-02-02,2026-02-12,50,259.91,261.49,12995.5,78.96,0.61,30-day SMA Drop,691.73,677.67,-2.03,2.64
IP,2026-02-02,2026-02-23,331,39.82,43.76,13180.42,1303.23,9.89,8% Trailing Stop,691.73,678.78,-1.87,11.76
BKNG,2026-02-25,2026-02-26,30,162.74,169.2,4882.2,193.74,3.97,30-day SMA Drop,689.49,685.66,-0.56,4.52
IFF,2026-02-17,2026-03-04,53,84.05,77.32,4454.65,-356.58,-8.0,8% Trailing Stop,679.24,681.51,0.33,-8.34
CL,2026-01-14,2026-03-05,59,83.32,92.1,4915.88,517.88,10.53,30-day SMA Drop,686.71,677.71,-1.31,11.85
HII,2026-02-13,2026-03-05,48,410.53,419.36,19705.44,423.78,2.15,30-day SMA Drop,678.15,677.71,-0.06,2.22
VRTX,2026-02-17,2026-03-05,9,490.3,460.82,4412.7,-265.32,-6.01,30-day SMA Drop,679.24,677.71,-0.23,-5.79
CHD,2026-02-03,2026-03-11,2,96.67,99.35,193.34,5.35,2.77,30-day SMA Drop,685.89,672.75,-1.91,4.68
DPZ,2026-02-25,2026-03-11,11,412.27,388.91,4534.97,-256.97,-5.67,30-day SMA Drop,689.49,672.75,-2.43,-3.24
XYZ,2026-03-02,2026-03-12,90,60.85,59.9,5476.5,-85.5,-1.56,8% Trailing Stop,682.75,662.54,-2.96,1.4
JNJ,2026-01-29,2026-03-17,87,228.68,236.75,19895.16,701.95,3.53,30-day SMA Drop,690.37,667.24,-3.35,6.88
AEP,2026-02-17,2026-03-19,34,131.29,127.79,4463.86,-118.93,-2.66,30-day SMA Drop,679.24,656.31,-3.38,0.71
AEP,2026-03-05,2026-03-19,150,132.62,127.79,19893.0,-724.21,-3.64,30-day SMA Drop,677.71,656.31,-3.16,-0.48
DOV,2026-03-18,2026-03-19,93,213.75,210.97,19878.75,-258.31,-1.3,30-day SMA Drop,657.93,656.31,-0.25,-1.05
CNP,2026-01-14,2026-03-20,127,38.68,41.79,4912.36,395.12,8.04,30-day SMA Drop,686.71,646.9,-5.8,13.84
PPL,2026-02-25,2026-03-20,128,38.1,36.26,4876.8,-235.7,-4.83,30-day SMA Drop,689.49,646.9,-6.18,1.34
KMI,2026-01-29,2026-04-01,656,30.47,32.58,19988.32,1383.37,6.92,30-day SMA Drop,690.37,653.56,-5.33,12.25
LYB,2026-03-06,2026-04-08,103,67.4,73.45,6942.2,623.32,8.98,8% Trailing Stop,668.83,674.27,0.81,8.16
LYB,2026-03-13,2026-04-08,45,72.94,73.45,3282.3,23.02,0.7,8% Trailing Stop,658.79,674.27,2.35,-1.65
OXY,2026-03-13,2026-04-08,57,57.65,59.5,3286.05,105.18,3.2,8% Trailing Stop,658.79,674.27,2.35,0.85
OXY,2026-03-13,2026-04-08,57,57.65,59.5,3286.05,105.18,3.2,8% Trailing Stop,658.79,674.27,2.35,0.85
DOW,2026-03-06,2026-04-09,198,35.06,37.66,6941.88,514.22,7.41,8% Trailing Stop,668.83,678.16,1.4,6.01
BIIB,2026-04-15,2026-04-16,111,179.47,176.02,19921.17,-382.95,-1.92,30-day SMA Drop,698.14,699.86,0.25,-2.17
TMUS,2026-04-30,2026-05-01,51,197.92,195.0,10093.92,-148.82,-1.47,30-day SMA Drop,716.81,718.8,0.28,-1.75
IP,2026-05-04,2026-05-05,310,32.5,31.39,10075.0,-343.57,-3.41,30-day SMA Drop,716.16,721.91,0.8,-4.21
INTC,2026-04-27,2026-05-14,239,83.61,115.93,19982.79,7724.48,38.66,8% Trailing Stop,713.33,746.25,4.61,34.04
AMD,2026-04-27,2026-05-18,57,346.32,420.99,19740.24,4256.19,21.56,8% Trailing Stop,713.33,736.75,3.28,18.28
ECL,2026-05-28,2026-05-29,22,260.77,255.3,5736.94,-120.25,-2.1,30-day SMA Drop,752.66,754.54,0.25,-2.35
TXN,2026-04-20,2026-06-01,86,232.34,293.2,19981.24,5233.96,26.19,8% Trailing Stop,706.9,756.59,7.03,19.16
UNH,2026-04-23,2026-06-03,56,355.14,374.86,19887.84,1104.26,5.55,30-day SMA Drop,706.63,752.3,6.46,-0.91
FSLR,2026-05-06,2026-06-05,44,218.44,279.01,9611.36,2665.08,27.73,8% Trailing Stop,731.94,735.65,0.51,27.22
FSLR,2026-05-29,2026-06-05,19,302.65,279.01,5750.35,-449.16,-7.81,8% Trailing Stop,754.54,735.65,-2.5,-5.31
DELL,2026-06-01,2026-06-05,46,426.15,394.39,19602.9,-1460.96,-7.45,8% Trailing Stop,756.59,735.65,-2.77,-4.69
LULU,2026-06-08,2026-06-09,175,114.22,121.36,19988.5,1249.5,6.25,30-day SMA Drop,737.32,735.16,-0.29,6.54
CSCO,2026-05-18,2026-06-10,167,119.14,118.8,19896.38,-56.78,-0.29,8% Trailing Stop,736.75,723.57,-1.79,1.5
DVN,2026-06-11,2026-06-12,423,47.18,44.99,19957.14,-926.37,-4.64,30-day SMA Drop,735.86,739.84,0.54,-5.18
INVH,2026-05-19,2026-06-16,697,28.66,29.0,19976.02,236.98,1.19,30-day SMA Drop,731.84,748.4,2.26,-1.08
CNC,2026-04-30,2026-06-17,190,53.33,60.64,10132.7,1388.9,13.71,8% Trailing Stop,716.81,739.06,3.1,10.6
